datesold,postcode,price,propertyType,bedrooms,datesold_year,month
2015-10-17,2606,14.244040939003435,house,5,2015,10
2015-10-18,2913,13.16158409055761,house,3,2015,10
2015-10-19,2902,12.84792653170257,house,3,2015,10
2015-10-19,2615,12.9190224533863,house,3,2015,10
2015-10-19,2905,13.217673557208654,house,4,2015,10
2015-10-19,2611,13.235692062711331,house,4,2015,10
2015-10-19,2904,13.37700559577791,house,3,2015,10
2015-10-19,2902,13.38472764187182,house,4,2015,10
2015-10-19,2914,13.39239051461739,house,4,2015,10
2015-10-19,2615,13.437174117244362,house,4,2015,10
2015-10-19,2914,13.487006490992238,house,4,2015,10
2015-10-19,2914,13.60787119318603,house,4,2015,10
2015-10-19,2607,13.726679344257658,house,4,2015,10
2015-10-19,2603,14.22097566607244,house,3,2015,10
2015-10-20,2603,12.873902018105829,house,2,2015,10
2015-10-20,2905,12.894207284266574,house,3,2015,10
2015-10-20,2611,13.041153321978786,house,3,2015,10
2015-10-20,2615,13.06155123800757,house,4,2015,10
2015-10-20,2912,13.092934566713517,house,3,2015,10
2015-10-20,2905,13.142166004700508,house,3,2015,10
2015-10-20,2902,13.151922179645874,house,3,2015,10
2015-10-20,2914,13.190022025878143,house,4,2015,10
2015-10-20,2611,13.244581010128577,house,4,2015,10
2015-10-20,2902,13.253391639810733,house,4,2015,10
2015-10-20,2914,13.255144488638146,house,4,2015,10
2015-10-20,2911,13.312983737012978,house,3,2015,10
2015-10-20,2615,13.3645249345543,house,4,2015,10
2015-10-20,2913,13.681979165339751,house,4,2015,10
2015-10-21,2615,12.676076274775909,house,3,2015,10
2015-10-21,2615,12.676076274775909,house,2,2015,10
2015-10-21,2914,12.739637756265655,house,4,2015,10
2015-10-21,2905,12.765688433465597,house,3,2015,10
2015-10-21,2617,12.89921982609012,house,3,2015,10
2015-10-21,2615,12.936033799212835,house,3,2015,10
2015-10-21,2615,12.959844447906553,house,3,2015,10
2015-10-21,2914,13.028052697933088,house,3,2015,10
2015-10-21,2617,13.041153321978786,house,3,2015,10
2015-10-21,2615,13.077366011473593,house,3,2015,10
2015-10-21,2615,13.226723392728571,house,4,2015,10
2015-10-21,2902,13.244581010128577,house,4,2015,10
2015-10-21,2602,13.321214236149494,house,3,2015,10
2015-10-21,2914,13.399995114002609,house,4,2015,10
2015-10-21,2602,13.458835614025542,house,3,2015,10
2015-10-21,2606,13.62918097977278,house,3,2015,10
2015-10-21,2604,13.764217263576723,house,3,2015,10
