,postcode,propertyType,bedrooms,datesold_year,month,price,lag1,lag2,lag3,lag6,lag12,lag24,lag36
3934,10,0,4,2008,2,13.500799813124576,13.849911984681606,13.91535589293399,13.732128949025222,13.904881339424529,13.877882616152727,13.825972904938924,13.770330497747583
4376,11,0,3,2008,2,12.834681304952548,12.84792653170257,13.164688064792408,13.163852883229158,13.157842643177416,13.14756883911553,13.120563247531196,13.098691191214007
4963,12,0,4,2008,2,13.005829561148378,13.09190416991962,13.033532163697712,13.155798153490569,13.19967388619622,13.189469350903481,13.167924957058393,13.150579692262612
5332,14,0,3,2008,2,12.997933299026151,13.133490596064302,13.13169685376294,13.12963721815171,13.124330387018173,13.114724017326067,13.08846072020368,13.06627890030321
5467,14,0,4,2008,2,13.044041410628859,13.34550692871854,13.344970947783843,13.343842493344049,13.340233609971103,13.32945557297301,13.300864571260435,13.274147164538215
6110,18,0,3,2008,2,12.762827201184564,12.948009990259552,12.992254692057308,12.759957758756611,13.019106263544833,13.01238066824983,12.995684403261208,12.983887652959897
6245,18,0,4,2008,2,13.526494262499355,13.304684934198283,13.31710745419684,13.0080742310022,13.278102393922223,13.270486104494317,13.251051376069034,13.227314737317021
6561,19,0,4,2008,2,13.38472764187182,13.132313708257495,13.020884208454476,13.16158409055761,13.250459991861986,13.239520597012769,13.21938138964173,13.196590226784682
6848,20,0,4,2008,2,13.275084464421992,13.235692062711331,13.233904752137237,13.279367126213993,13.330911207252779,13.325440566267908,13.310164171269392,13.298888981114336
7089,21,0,3,2008,2,12.854483932248728,12.845731141139133,12.807652632564631,12.86099861326992,12.987280592754974,12.979763744040518,12.961663272519598,12.948609319155338
7232,21,0,4,2008,2,13.303016877097589,13.005829561148378,13.329377546788654,13.019222618484816,12.84792653170257,13.219575603988028,13.19849010122038,13.18728418253295
7366,21,0,5,2008,2,13.37700559577791,13.363214372594136,13.360412191834536,13.35922636747079,13.354391165093512,13.33723051103407,13.317768438237716,13.306431606779475
7512,22,0,3,2008,2,12.846609875817823,12.86617997201192,12.774223335915432,12.6132030329574,12.676076274775909,12.925453058723255,12.910904916517202,12.897717760052055
650,2,0,3,2008,3,13.270783382522602,13.292106151991424,13.01477816672439,13.172105469299142,13.06048797368624,13.41229111096672,13.387364192885439,13.36331055968262
3517,9,0,4,2008,3,13.415778981703872,13.185338176565716,13.408978457750884,13.407618292026779,13.398861832317339,13.384607936095602,13.361481290035485,13.336828455753206
4146,10,1,2,2008,3,12.89921982609012,12.911642346088676,13.17020070681849,13.087707154035748,13.086416974583944,13.082346437684333,13.075692966694282,13.067959219457197
4827,12,0,3,2008,3,12.911642346088676,12.712890247898626,12.83667930761522,12.815838217151068,12.984564204997316,12.97505285029708,12.953678652749193,12.936727566147516
4964,12,0,4,2008,3,13.39239051461739,13.005829561148378,13.09190416991962,13.033532163697712,13.19967388619622,13.189469350903481,13.167924957058393,13.150579692262612
1,0,0,1,2008,4,12.58621994565405,12.697715449879391,13.021597331938228,12.903514931463581,12.697715449879391,13.221756930054593,13.216973045246451,13.198091075432924
651,2,0,3,2008,4,13.054798057908563,13.270783382522602,13.292106151991424,13.01477816672439,13.132313708257495,13.41229111096672,13.387364192885439,13.36331055968262
786,2,0,4,2008,4,13.610943392223,13.253391639810733,13.128345449081877,13.710150042306449,13.633127711610381,13.617787052715615,13.588242095434461,13.559085672678526
1713,4,0,3,2008,4,13.166380262821104,13.132313708257495,13.079455876393052,13.486492051590444,13.47629378266195,13.454606308288875,13.41885232153483,13.38042483874634
